arraySize,time
1024,0.08437
1024,0.063336
1024,0.063639
1024,0.065823
1024,0.059983
4096,0.067229
4096,0.068427
4096,0.06437
4096,0.067249
4096,0.060883
16384,0.062902
16384,0.094018
16384,0.07107
16384,0.063067
16384,0.07644
65536,0.067157
65536,0.068036
65536,0.069291
65536,0.066234
65536,0.064913
262144,0.086871
262144,0.088072
262144,0.083595
262144,0.09358
262144,0.084718
1048576,0.130118
1048576,0.136219
1048576,0.136118
1048576,0.134351
1048576,0.129931
4194304,0.476043
4194304,0.460958
4194304,0.456771
4194304,0.452885
4194304,0.450355
